toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
2011.02,136916387,KP,15h21m45.63s,230.440115,-48d19m07.74s,-48.318817,-1624.05,-276.024,2458650.898,27.5920718,3.2743016,555.3352929,2.7050278,31.3830711,603.6616824,5.0494,14.682,5739,4.51,1.02607,2022-04-20 20:30,2024-01-31 16:02
2011.03,136916387,KP,15h21m45.63s,230.440115,-48d19m07.74s,-48.318817,-1624.05,-276.024,2460081.126,,3.5341354,195.1972939,1.6208326,335.6075222,1091.635552,5.0494,14.682,5739,4.51,1.02607,2024-02-01 23:06,2024-02-16 10:08
2012.01,138294130,KP,15h19m57.89s,229.99122,+36d13m46.36s,36.229545,-21.661,-24.25,2459716.992,3.0565259,4.145,8800,15.1633,1438,1715,10.6506,320.451,5981,4.07,1.6,2020-06-19 6:00,2022-09-02 16:02
2013.01,188589164,CP,15h58m18.62s,239.577568,+35d24m29.21s,35.408114,-143.277,318.219,2458956.396,2.6162769,1.134893,1120.601418,1.0972867,19.1060128,533.2271643,10.2705,15.8095,3352,4.8984,0.325635,2020-06-19 6:00,2024-10-03 10:08
2014.01,198588220,KP,17h06m26.57s,256.610728,+44d46m36.79s,44.776885,9.436,-18.185,2460497.317,4.8099755,6.696,6965,22.6223,2029.17,1869,9.63331,371.686,6417,3.7,2.65,2020-06-19 6:00,2024-09-04 10:08
2015.01,368287008,CP,15h28m31.84s,232.132653,+27d21m39.86s,27.361073,-56.166,63.966,2459712.929,3.3491408,1.207,7210,5.37673,31.0153,657,12.8387,47.3444,3223,4.89993,0.32,2020-06-19 6:00,2025-04-20 12:03
2016.01,219508169,PC,16h27m11.34s,246.797267,+42d41m15.96s,42.687767,-43.304,68.696,2460470.799,6.8161105,2.718,1377,2.98458,86.7877,850,10.408,115.834,5175,4.54,0.84,2020-09-11 18:37,2025-06-04 10:08
2016.02,219508169,PC,16h27m11.34s,246.797267,+42d41m15.96s,42.687767,-43.304,68.696,2460477.432,2.4590369,1.862,1179,2.74738,301.374,1160,10.408,115.834,5175,4.54,0.84,2020-06-19 6:00,2024-09-01 12:02
2016.03,219508169,PC,16h27m11.34s,246.797267,+42d41m15.96s,42.687767,-43.304,68.696,2459735.446,25.3369848,3.214,1330,3.23582,25.3267,624,10.408,115.834,5175,4.54,0.84,2022-07-28 21:43,2022-07-29 12:02
2017.01,357416482,FP,15h15m47.96s,228.949819,+27d21m42.52s,27.36181,-52.439,9.647,2460434.94,5.49826,2.04,12929,16.2801,232.345,,8.2057,115.605,6362.6,,1.34,2020-06-19 6:00,2024-08-06 10:08
